artists,track_count,avg_popularity,avg_duration,avg_danceability,avg_energy,avg_acousticness,explicit_track_ratio,earliest_release,latest_release
Hank Williams;Drifting Cowboys,104,21.990384615384617,2.6515115384615386,0.6319999999999999,0.26790096153846155,0.8404711538461539,0.0,2020-01-01,2020-01-01
The Beach Boys,104,12.288461538461538,2.3988246794871797,0.5435673076923077,0.5434423076923077,0.24173615384615385,0.0,2020-01-01,2020-01-01
Nat King Cole,102,1.3823529411764706,2.3137039215686275,0.43398039215686274,0.30227941176470585,0.8030686274509804,0.0,2020-01-01,2020-01-01
Jay Chou,93,52.215053763440864,4.27521146953405,0.5958924731182795,0.5716881720430108,0.3357806451612903,0.0,2020-01-01,2020-01-01
Almafuerte,93,26.387096774193548,3.64878458781362,0.3283548387096774,0.9019892473118281,0.011663229032258065,0.0,2020-01-01,2020-01-01
Carlos Gardel,91,21.043956043956044,2.69941978021978,0.6079890109890109,0.29610989010989014,0.9748461538461538,0.0,2020-01-01,2020-01-01
Sujatha,89,27.02247191011236,4.447786329588015,0.5935955056179775,0.5295280898876404,0.43277528089887646,0.0,2020-01-01,2020-01-01
Dan Gibson's Solitudes,88,23.568181818181817,6.92410946969697,0.25694886363636366,0.14099045454545453,0.9101704545454545,0.0,2020-01-01,2020-01-01
Napalm Death,87,14.402298850574713,2.71728908045977,0.26239080459770114,0.9395862068965517,0.0031397127586206895,0.022988505747126436,2020-01-01,2020-01-01
Stevie Wonder,86,1.0116279069767442,2.913384496124031,0.48306976744186053,0.5579418604651163,0.3599539534883721,0.0,2020-01-01,2020-01-01
Sarah,86,17.77906976744186,2.334469186046512,0.6768255813953489,0.47267441860465115,0.31550120930232556,0.0,2020-01-01,2020-01-01
Nogizaka46,86,25.13953488372093,4.4177098837209305,0.5301860465116279,0.8830232558139535,0.25012197674418607,0.0,2020-01-01,2020-01-01
Pink Floyd,86,55.08139534883721,5.712046511627907,0.4253139534883721,0.3855779069767442,0.3558953488372093,0.03488372093023256,2020-01-01,2020-01-01
the Illstrumentalist,86,17.77906976744186,2.334469186046512,0.6768255813953489,0.47267441860465115,0.31550120930232556,0.0,2020-01-01,2020-01-01
Shiritsu Ebisu Chugaku,84,21.202380952380953,4.437787103174603,0.5477619047619048,0.8906666666666667,0.03997521428571429,0.0,2020-01-01,2020-01-01
Brenda Lee,80,4.725,2.2158047916666668,0.6253375,0.49918749999999995,0.6924125,0.0,2020-01-01,2020-01-01
Hillsong Worship,78,44.15384615384615,5.559290384615385,0.38158974358974357,0.5440641025641025,0.1904775846153846,0.0,2020-01-01,2020-01-01
Alphaxone,78,8.91025641025641,5.964880128205128,0.14119102564102565,0.2550653846153846,0.6260653846153846,0.0,2020-01-01,2020-01-01
Seiko Matsuda,78,25.192307692307693,4.183302136752137,0.6375897435897436,0.5964525641025641,0.4837911538461538,0.0,2020-01-01,2020-01-01
The Prophet,78,8.371794871794872,4.321857692307693,0.6118333333333333,0.9019871794871795,0.04802301153846154,0.01282051282051282,2020-01-01,2020-01-01
The Jackson 5,77,1.051948051948052,2.7999926406926408,0.6302467532467532,0.7185974025974026,0.3927922077922078,0.0,2020-01-01,2020-01-01
Norah Jones,75,4.866666666666666,3.250656222222222,0.4853066666666667,0.32298133333333334,0.6947866666666667,0.0,2020-01-01,2020-01-01
Oleg Pogudin,75,0.8933333333333333,3.227816444444444,0.42690666666666666,0.24098399999999998,0.8521066666666667,0.0,2020-01-01,2020-01-01
Rammstein,75,61.96,4.178581111111111,0.56736,0.8227333333333333,0.021298451066666668,0.04,2020-01-01,2020-01-01
Wolfgang Amadeus Mozart;Danielle Laval,73,11.438356164383562,1.108098401826484,0.38780821917808217,0.11074205479452055,0.9902876712328766,0.0,2020-01-01,2020-01-01
